index,class_i,ASCUS_s,LSIL_s,ASCH_s,HSIL_s,SCC_s,ASCUS_c,LSIL_c,ASCH_c,HSIL_c,SCC_c,ASCUS_c_09,LSIL_c_09,ASCH_c_09,HSIL_c_09,SCC_c_09,ASCUS_c_099,LSIL_c_099,ASCH_c_099,HSIL_c_099,SCC_c_099,ASCUS_c_0999,LSIL_c_0999,ASCH_c_0999,HSIL_c_0999,SCC_c_0999,w_mean,h_mean,v_mean
0,0,1427,393,5,25,2,1023,775,0,50,4,525,492,0,33,0,211,263,0,11,0,65,137,0,6,0,161.434549,157.1555229,30181.64068
1,0,815,296,377,651,1,447,323,5,1354,11,192,196,1,1159,3,65,118,0,933,0,21,65,0,659,0,111.0371596,110.5544538,16027.5516
2,0,29,24,0,1,0,14,36,0,2,2,6,26,0,1,2,2,15,0,1,1,2,13,0,1,1,189.5839219,223.9583638,44321.56841
3,0,1660,1411,26,128,0,200,2713,1,311,0,113,2540,1,298,0,62,2230,1,283,0,36,1878,0,265,0,153.0597076,154.175209,28846.58821
4,0,1469,437,85,177,1,1020,701,2,438,8,575,483,1,339,5,244,278,1,245,4,84,165,1,167,2,124.6139277,124.1754751,19315.77039
5,0,2630,543,47,65,1,1835,1184,1,251,15,1018,727,1,199,7,405,391,1,145,5,103,192,0,95,2,116.1455735,117.1873185,15173.63983
6,0,3515,952,13,40,5,2113,2214,0,166,32,1189,1600,0,123,13,543,975,0,88,3,226,561,0,52,1,128.1166217,126.4401461,18216.28818
7,0,1042,329,98,209,5,637,533,4,457,52,327,338,1,292,29,124,184,0,150,18,34,97,0,63,12,118.5371633,117.1329824,16821.05785
8,0,2584,608,43,59,0,2037,1068,3,184,2,1244,584,1,137,0,536,296,0,84,0,181,157,0,45,0,129.7726684,132.4233635,18760.77865
9,0,785,327,17,123,4,480,550,0,220,6,300,347,0,175,4,109,194,0,126,4,31,118,0,77,0,161.1125685,162.1785417,32423.90761
10,0,400,358,0,13,0,159,592,0,18,2,77,442,0,16,2,20,304,0,14,2,7,204,0,8,1,178.64217,179.2005116,37419.47195
11,0,1248,455,215,328,1,806,615,37,777,12,409,415,10,620,8,159,246,2,455,5,54,147,0,273,5,144.479976,145.677098,28594.91757
12,0,760,355,518,795,3,329,394,16,1680,12,163,295,3,1520,8,66,184,1,1307,5,20,120,0,1068,3,137.7272338,133.5367652,28386.01324
13,0,2829,1878,5,89,1,869,3773,2,157,1,347,2986,0,132,1,81,2047,0,95,1,23,1337,0,53,0,153.337379,152.4696812,27960.25324
14,0,372,150,36,154,3,246,199,0,259,11,110,123,0,178,8,36,70,0,95,6,9,37,0,30,2,121.6181945,122.3368362,20596.2721
15,0,1682,778,27,143,0,950,1394,0,283,3,432,971,0,243,1,149,594,0,205,0,36,337,0,171,0,138.8581171,137.317091,21132.97484
16,0,1268,757,40,112,1,636,1312,0,223,7,287,911,0,192,6,104,589,0,150,4,28,356,0,105,2,153.1176121,151.4210518,27321.36108
17,0,324,123,16,42,1,240,188,0,76,2,118,111,0,52,0,46,48,0,27,0,14,23,0,11,0,145.7295175,144.1581106,25725.67781
18,0,1749,120,176,425,3,1549,114,19,774,17,1198,61,6,525,9,807,40,1,302,7,453,23,1,154,6,132.4893152,135.9444147,22215.93616
19,0,794,210,105,259,1,531,330,6,493,9,267,225,0,319,3,104,126,0,186,1,30,77,0,83,1,114.8825574,118.9893604,16642.95723
20,0,718,148,26,93,0,617,188,0,177,3,382,98,0,147,2,152,52,0,109,2,43,25,0,76,2,131.9140014,129.2484728,19749.32753
21,0,2990,983,35,63,4,1561,2163,2,304,45,814,1507,0,191,31,315,887,0,112,17,87,507,0,50,13,137.2836091,136.1026272,20809.2702
22,0,2850,755,47,80,2,2019,1498,8,203,6,1029,958,4,146,2,379,554,0,84,1,102,331,0,43,0,132.0668488,132.0131301,18682.83151
23,0,1357,763,114,291,2,677,1234,4,607,5,336,838,0,491,4,118,511,0,374,3,33,293,0,259,2,149.2782824,150.1871939,28014.58333
24,0,461,288,9,55,0,263,458,1,88,3,130,313,1,72,3,50,209,0,51,2,12,142,0,27,2,161.5302649,168.6262703,31959.20914
25,0,2757,586,9,13,1,1865,1439,0,57,5,1096,1049,0,43,3,525,677,0,31,2,217,419,0,22,2,137.0616718,137.769753,21236.18965
26,0,1239,359,34,91,2,945,557,2,210,11,469,318,0,172,8,174,155,0,125,4,46,91,0,83,2,125.1456941,126.183407,17251.96654
27,0,1211,906,78,150,76,500,1421,0,101,399,333,1089,0,65,147,216,808,0,37,47,145,600,0,17,15,326.2298896,320.662782,123433.035
28,0,1664,572,281,418,0,863,832,18,1159,63,372,578,5,899,47,125,345,0,608,31,34,214,0,374,24,114.0168491,114.0312159,15664.81563
29,0,865,593,49,98,1,361,1004,9,219,13,178,771,3,141,8,63,508,0,70,3,18,331,0,25,1,171.6616237,167.8888642,33561.2514
30,0,590,401,2,41,3,328,650,0,54,5,166,474,0,37,2,60,310,0,16,1,15,202,0,13,0,177.842623,178.4138821,38302.14963
31,0,556,271,67,227,2,403,358,10,348,4,199,231,6,309,1,75,131,3,247,1,17,58,2,169,0,125.0942201,128.9088657,18778.66703
32,0,697,465,7,34,2,319,816,0,65,5,166,615,0,45,1,63,403,0,28,1,19,259,0,12,1,190.9348041,189.5773699,46017.26356
33,1,1606,22,9,7,0,1569,41,9,21,4,1375,39,2,8,1,1055,39,1,5,1,670,37,0,2,0,120.2676436,120.5057158,21133.83999
34,1,1138,31,11,23,2,1099,53,1,48,4,846,36,1,19,1,562,26,0,6,0,289,14,0,2,0,144.0220491,140.0365532,23921.87147
35,1,2942,48,34,75,0,2872,44,2,180,1,2340,14,1,80,0,1646,7,0,27,0,921,3,0,6,0,167.0017436,158.5764964,40034.83937
36,1,736,22,53,175,1,688,22,0,272,5,515,12,0,192,4,330,4,0,123,3,190,2,0,55,1,132.6436486,131.8519383,21891.77183
37,1,1902,29,3,10,1,1888,35,1,19,2,1517,17,0,13,1,1085,8,0,6,0,699,3,0,3,0,156.3571743,155.3686316,28798.04549
38,1,1725,22,0,4,2,1709,28,2,5,9,1325,13,1,2,5,839,5,0,1,2,428,2,0,1,1,145.4098245,145.1512902,23055.5891
39,1,2058,28,1,11,0,2029,51,0,17,1,1607,25,0,9,1,1113,13,0,5,1,652,3,0,1,1,151.6341147,150.0280975,24016.74724
40,1,2929,9,45,21,2,2864,8,35,88,11,2455,4,11,24,6,1889,4,5,5,2,1211,4,2,1,2,98.58367682,101.4372759,11947.20003
41,1,2570,36,5,8,3,2512,72,5,15,18,2157,25,1,6,11,1611,13,0,1,7,1004,6,0,0,4,144.6380239,147.2087922,23731.64426
42,1,2179,17,17,17,3,2145,19,10,38,21,1820,14,3,12,15,1387,9,1,6,12,847,8,0,3,9,119.3774526,124.2801737,16262.08986
43,1,1233,82,42,24,9,1114,127,62,51,36,770,69,32,27,25,489,37,14,15,20,269,17,8,9,18,163.9864456,165.8313618,32519.88889
44,1,2431,206,15,16,12,2196,358,11,41,74,1739,249,4,20,52,1218,172,0,3,34,738,121,0,1,18,136.3850524,136.5491711,21827.76164
45,1,1880,67,15,22,0,1804,113,11,53,3,1355,71,4,44,2,817,43,1,25,1,400,19,1,12,0,149.9737436,155.3814873,26133.28003
46,1,1608,11,34,30,0,1569,16,31,67,0,1222,4,13,30,0,817,0,6,10,0,449,0,2,4,0,119.9176585,122.3567503,16308.42573
47,1,3258,41,48,40,2,3143,62,47,122,15,2684,47,18,100,13,2111,40,9,77,12,1524,33,2,59,10,115.6813723,119.7600836,16477.69505
48,1,4202,20,5,4,0,4159,47,6,16,3,3320,24,0,5,1,2248,10,0,1,1,1226,2,0,0,1,127.7151706,127.4896672,17265.098
49,1,2481,17,1,8,1,2456,34,0,16,2,1996,22,0,12,0,1438,8,0,6,0,876,2,0,3,0,144.8114311,146.6155996,22300.36843
50,1,6655,66,23,14,1,6449,182,52,56,20,5290,102,28,43,11,3625,51,16,32,8,2098,20,7,21,5,130.6570439,132.5378437,18740.77024
51,1,4420,14,3,11,0,4382,33,2,31,0,3621,13,0,14,0,2544,6,0,7,0,1500,1,0,3,0,131.5984215,136.3133093,19738.58674
52,1,621,28,8,9,0,613,30,2,20,1,410,22,0,9,1,251,9,0,2,1,124,2,0,0,1,146.3530973,152.7209046,25841.39735
53,1,859,7,284,5,0,673,3,466,9,4,542,0,248,3,3,410,0,105,3,1,272,0,41,0,0,155.1605669,153.7385037,37015.81412
54,1,1870,45,37,45,2,1820,51,28,89,11,1459,27,11,55,6,1038,16,2,25,4,540,11,1,7,2,157.5474103,160.225323,44267.48763
55,1,2499,11,19,9,2,2464,19,34,14,9,2014,11,17,10,4,1435,3,5,5,3,874,1,3,3,1,123.739514,130.9338334,17910.38811
56,1,1256,17,49,41,1,1181,22,52,104,5,896,10,20,43,1,603,4,7,18,0,293,3,3,7,0,128.2988572,134.3622109,22055.16831
57,1,1252,19,30,21,0,1220,20,23,53,6,899,8,11,40,4,617,4,3,27,4,351,2,2,14,1,158.7448587,162.3292828,38487.44443
58,1,1417,37,21,17,5,1378,46,20,40,13,1156,30,7,30,7,864,17,2,24,4,603,11,1,17,3,131.8058662,138.5181073,21671.1318
59,1,3838,16,163,6,2,3491,23,462,41,8,2932,19,177,13,4,2160,12,65,6,4,1326,7,30,4,2,103.3242137,107.4182414,16838.05483
60,1,1577,42,11,45,3,1533,61,1,75,8,1152,25,0,37,6,674,9,0,18,4,288,4,0,4,2,165.5037009,164.1234685,44584.81954
61,1,2187,6,1,3,0,2175,13,5,4,0,1627,2,3,0,0,1045,0,1,0,0,526,0,0,0,0,127.1604802,130.1026842,17676.11167
62,1,703,64,4,18,1,668,82,10,27,3,336,18,6,15,2,120,3,4,6,2,36,0,3,5,1,171.3304067,171.1560257,32382.98636
63,1,3285,60,78,20,1,3135,88,142,71,8,2330,47,65,38,6,1463,26,26,24,4,860,21,15,13,0,144.4891954,146.0690752,24167.44527
64,1,522,15,4,11,1,512,18,1,16,6,408,7,0,7,2,280,3,0,3,1,141,2,0,2,1,133.2200672,131.8940929,20277.81211
65,1,1996,17,8,29,2,1965,11,4,67,5,1593,4,2,24,2,1180,1,0,7,1,701,0,0,3,0,112.691051,115.531819,14511.23629
66,1,268,46,3,12,3,235,70,2,15,10,121,35,0,8,1,54,14,0,4,1,12,9,0,0,0,157.8031205,159.5864977,32732.90398
67,1,1759,28,60,106,1,1643,24,24,254,9,1176,9,6,103,5,708,3,3,40,3,304,0,0,13,3,135.9057682,136.1141168,23455.76425
68,1,2343,75,5,6,2,2261,141,5,13,11,1346,80,1,3,7,622,34,0,1,5,234,15,0,0,3,128.0325674,128.2416982,17251.92407
69,1,3067,8,12,6,0,3051,12,14,16,0,2705,6,3,6,0,2179,1,0,4,0,1501,1,0,1,0,115.1655021,117.3512805,15737.45171
70,1,3190,6,5,6,0,3169,7,13,17,1,2731,4,2,8,1,2126,0,0,3,1,1414,0,0,0,0,122.7689904,126.0936535,16550.1862
71,1,1685,91,9,21,2,1609,140,1,39,19,1252,72,0,19,15,795,30,0,8,11,423,10,0,5,7,133.1286287,134.944565,21175.20605
72,1,4349,361,19,36,11,3742,782,11,148,93,2987,633,3,125,83,2127,468,2,96,67,1333,337,2,68,42,133.1955982,135.140553,19535.57455
73,1,3267,15,13,8,1,3225,35,3,37,4,2633,18,1,7,3,1869,4,0,4,0,1118,1,0,1,0,114.9039628,115.311258,14040.43195
74,1,7111,14,2,1,1,7061,41,2,12,13,6007,14,1,8,5,4361,2,1,5,3,2487,1,1,2,0,125.1516505,125.3646904,16400.62684
75,1,4090,9,6,9,0,4055,17,2,39,1,3225,7,1,20,0,2102,1,0,8,0,950,0,0,4,0,122.8336554,122.9841063,15589.2993
76,1,483,32,2,24,2,466,40,2,29,6,350,33,1,6,1,225,33,0,2,0,111,31,0,1,0,160.9504516,161.9996366,38787.53528
77,1,1432,11,59,42,3,1366,19,43,111,8,1120,15,20,55,4,820,10,10,20,2,550,8,4,11,2,105.6487244,109.3400057,15488.62296
78,1,1234,44,5,22,0,1200,67,0,36,2,827,25,0,17,2,482,12,0,5,0,231,5,0,1,0,149.8859785,149.8133453,25999.62577
79,1,6686,24,89,20,0,6533,20,189,74,3,5909,10,120,48,1,4844,7,63,35,0,3505,2,32,19,0,114.2252524,114.1870868,14919.11686
80,1,1137,22,9,14,3,1114,38,2,26,5,866,29,1,14,4,619,27,0,4,2,369,26,0,3,1,148.6997599,150.261152,29313.42152
81,1,2583,6,7,9,1,2561,15,5,22,3,2179,9,2,10,2,1606,8,1,2,1,907,6,0,0,1,109.2971489,108.9224237,12967.44732
82,1,3102,16,2,3,0,3075,30,6,12,0,2500,22,2,3,0,1671,17,0,0,0,888,13,0,0,0,148.8712782,147.4938325,24950.30416
83,1,5905,14,44,86,0,5760,22,10,254,3,5196,12,3,133,2,4169,10,1,56,0,2844,8,1,24,0,104.8440739,106.1154135,12279.81467
84,1,1352,16,20,40,0,1311,18,2,94,3,1025,8,0,52,1,694,6,0,25,1,443,3,0,13,1,111.7474359,110.9604301,13995.39554
85,1,2247,8,30,11,0,2216,12,17,47,4,1897,9,4,22,1,1409,7,1,12,1,885,7,0,7,0,134.5169944,139.5002814,21691.16776
86,1,3452,116,176,267,5,2981,108,176,721,30,2580,60,80,602,27,2056,38,33,459,20,1478,20,10,337,13,96.17317835,99.2968104,10718.695
87,1,1870,68,31,49,3,1780,96,40,92,13,1353,60,20,72,12,934,34,7,42,8,613,21,5,23,5,124.9852683,126.0747682,18333.89757
88,1,2506,9,26,6,1,2455,11,48,31,3,1821,7,6,13,0,1089,1,1,1,0,503,0,1,1,0,118.9594645,122.8705094,17836.65862
89,1,4439,5,20,13,0,4381,10,30,54,2,3778,5,8,27,0,2898,2,2,11,0,1902,0,1,1,0,123.7340069,126.0557864,17203.86307
90,1,4688,57,80,48,2,4489,58,152,153,23,3841,19,66,98,8,2988,8,36,56,5,2011,4,18,30,5,107.9890701,108.6907548,14368.24137
91,1,6808,8,82,36,0,6678,7,42,202,5,5734,1,8,110,2,4467,0,2,43,0,3014,0,0,13,0,113.9414346,114.931757,17857.79435
92,1,3203,11,135,31,1,3061,8,132,174,6,2513,5,43,131,5,1875,3,14,93,2,1255,2,2,55,1,110.0570637,114.6854834,15035.73602
93,1,4988,19,13,14,0,4939,29,17,40,9,4051,13,4,21,8,2671,4,2,11,5,1417,1,1,4,5,142.0816026,142.9017323,23773.31972
94,1,2614,48,93,93,1,2489,69,22,258,11,1966,41,9,133,7,1370,20,2,60,5,821,8,1,31,3,120.8903221,124.8105002,19242.67312
95,1,2003,3,36,46,0,1951,2,16,114,5,1548,1,1,41,2,1030,1,0,12,0,543,0,0,3,0,119.3334136,119.6313539,16404.79883
96,1,7515,11,7,18,2,7471,21,6,45,10,6719,6,1,30,4,5359,3,0,11,1,3629,1,0,5,0,122.6318236,122.5873523,15786.47724
97,1,4219,68,8,29,4,4148,106,9,51,14,3489,43,3,26,5,2606,17,2,18,3,1511,10,1,9,2,140.1435205,143.2011052,23356.00251
98,1,2060,119,194,268,3,1831,94,32,671,16,1307,36,7,526,12,808,16,0,350,8,406,5,0,201,4,99.77134462,103.9471996,12854.36504
99,1,482,19,34,118,1,446,18,0,187,3,308,6,0,123,2,188,0,0,56,1,118,0,0,17,1,132.7844159,134.1634925,23921.01311
100,1,3056,32,29,24,1,2989,48,29,68,8,2449,24,13,59,6,1777,11,7,47,3,1144,9,2,35,1,148.2356896,156.248593,26121.43311
101,1,1541,82,0,2,0,1469,151,0,3,2,1116,98,0,2,0,715,71,0,0,0,399,49,0,0,0,151.7157627,153.4954474,24532.85944
102,1,700,4,3,2,0,696,3,3,7,0,461,1,0,2,0,252,0,0,1,0,105,0,0,1,0,129.5826702,135.3778103,18927.17246
103,1,5074,15,111,29,0,4802,11,291,116,9,4178,5,100,100,8,3301,2,36,74,7,2228,1,10,50,5,110.2055628,113.1276016,15101.62527
104,1,3777,11,193,42,0,3650,4,111,256,2,2780,2,24,98,0,1879,0,8,34,0,1057,0,3,10,0,89.79344989,91.82958037,11929.78937
105,1,4350,28,8,24,0,4312,28,3,66,1,3467,10,1,35,1,2388,4,0,18,1,1387,2,0,7,0,142.2483518,142.4839328,21404.33738
106,1,5175,5,10,12,0,5141,0,13,39,9,4697,0,1,15,5,3964,0,0,6,3,2957,0,0,0,1,117.8235361,119.6699581,15246.29869
107,1,1241,3,15,10,1,1229,2,4,30,5,950,2,0,16,3,671,1,0,7,3,384,1,0,3,2,157.7127618,168.8399037,30603.51525
108,1,4126,23,23,15,1,4056,30,31,66,5,3250,21,8,22,3,2256,9,2,13,0,1179,8,0,5,0,107.7912072,109.2918621,14514.24044
109,3,2656,20,692,5,0,1776,8,1545,22,22,1485,6,1153,16,14,1158,4,808,9,9,844,3,534,6,8,192.0101673,181.3249574,52780.13349
110,3,2,4,1,2,1,0,0,0,2,8,0,0,0,2,8,0,0,0,1,8,0,0,0,1,7,511.3268448,469.9470017,236586.8247
111,3,3206,0,83,20,3,2921,0,291,95,5,2589,0,213,69,4,2081,0,140,50,3,1405,0,91,32,3,103.4371679,106.9079109,12673.17286
112,3,4181,11,143,24,0,3892,17,306,140,4,3596,9,211,117,2,3128,6,125,92,2,2551,2,60,65,1,116.1841713,118.8613892,17572.45374
113,3,3237,79,16,10,0,3090,154,58,32,8,2044,120,34,23,7,1135,82,24,19,4,531,58,17,13,4,135.7668155,137.8383131,23492.48463
114,3,1858,7,100,5,2,1732,5,218,11,6,1492,3,168,7,4,1166,1,118,5,3,824,1,76,4,2,113.4534466,116.0859384,18869.69017
115,3,2287,23,37,5,0,2219,32,84,17,0,1703,19,63,10,0,1039,11,40,5,0,529,4,29,2,0,118.3487433,120.0634101,15641.76808
116,3,926,24,16,7,1,898,38,16,19,3,590,21,9,13,1,280,13,6,9,0,120,8,5,6,0,132.6270289,131.6671933,18627.93308
117,3,574,37,27,37,0,546,33,29,62,5,346,13,27,41,5,179,7,16,26,2,77,4,8,15,0,130.7872544,136.4754187,20510.03649
118,3,102,59,1,0,0,58,101,0,0,3,55,92,0,0,3,53,85,0,0,2,48,79,0,0,1,527.8495557,538.3761035,285536.2689
119,3,131,14,9,6,2,112,19,17,8,6,86,15,10,6,5,60,11,6,3,5,40,5,1,2,3,166.9963705,162.4238205,40125.95898
120,3,2411,9,23,11,0,2381,10,42,16,5,1999,4,21,7,2,1469,3,5,2,0,918,1,2,2,0,103.5678749,104.9324407,12584.49098
121,3,1466,8,217,5,3,1309,4,361,19,6,1033,1,284,12,5,697,1,213,8,2,343,0,150,2,0,120.7212207,123.6672361,17462.05952
122,3,1747,14,256,27,0,1492,7,474,68,3,1236,5,354,46,1,965,2,241,26,1,668,1,163,15,1,102.492467,105.6126361,13863.58159
123,3,2327,42,426,244,8,1444,24,636,703,240,1086,10,416,406,135,757,4,265,226,58,480,2,159,121,18,105.0056471,108.5333373,15943.17653
124,3,1587,49,44,11,8,1488,87,62,21,41,1152,40,34,13,33,794,13,16,9,27,472,6,4,3,17,149.4381901,147.1717073,29512.6538
125,3,1605,61,196,80,1,1398,74,258,202,11,1139,44,173,167,3,867,19,117,132,1,593,7,74,94,0,133.0886906,133.9106676,24895.31069
126,3,622,12,130,99,0,514,4,170,169,6,367,1,98,114,4,204,1,53,69,2,105,1,20,30,1,120.1525379,123.1257607,19896.71537
127,3,982,9,181,6,1,821,12,320,23,3,547,5,256,15,1,304,1,196,9,0,172,1,150,3,0,141.7162114,144.5678563,27349.10383
128,3,1563,17,264,3,0,1237,4,585,12,9,1040,2,499,5,3,829,1,411,4,0,598,1,345,2,0,140.4056544,139.6907561,29461.66505
129,3,1038,148,167,137,8,792,164,132,384,26,474,106,70,294,16,243,62,33,203,9,105,37,17,117,6,111.684937,111.1308828,16348.63457
130,3,1326,4,31,11,0,1288,6,51,25,2,998,3,22,16,0,645,1,9,9,0,339,1,5,2,0,106.7096734,107.7358769,15286.16244
131,3,1808,24,111,23,5,1679,30,206,46,10,1402,20,143,34,7,1061,7,95,26,5,706,4,47,16,3,110.3836637,113.598785,14182.25821
132,3,1361,7,10,9,0,1339,8,23,17,0,1062,0,15,12,0,667,0,11,4,0,375,0,6,1,0,130.9813814,132.8381775,18610.7214
133,3,2990,29,22,10,5,2951,45,33,13,14,2424,15,27,7,10,1651,9,15,6,3,935,7,8,5,3,118.1710013,123.6671449,15626.01659
134,3,4606,13,445,50,0,3535,4,1276,297,2,2982,4,1004,201,1,2235,1,730,116,0,1441,0,505,39,0,107.6774552,106.8048672,16464.41217
135,3,4010,15,128,43,0,3787,12,247,141,9,3457,5,168,105,6,3001,2,101,59,3,2418,2,50,41,1,116.3882923,116.3490177,16261.86766
136,3,1740,5,48,13,1,1646,9,112,31,9,1379,6,75,21,1,1029,3,44,8,0,630,2,31,3,0,138.5749445,135.1281561,21616.3831
137,3,1765,47,52,299,0,1617,19,22,503,2,1352,10,12,374,2,1076,3,5,266,2,739,3,2,169,1,107.2361228,106.9228544,13015.47494
138,3,1368,4,152,36,0,1198,3,286,71,2,907,2,231,41,2,644,0,174,25,0,392,0,129,13,0,112.5886982,113.685717,16716.86591
139,3,1249,8,130,56,1,1089,5,249,96,5,866,2,196,61,3,574,0,154,29,1,316,0,123,14,0,119.3349869,119.5889814,16368.94855
140,3,1644,20,101,29,1,1465,23,223,70,14,1047,15,172,60,10,604,11,120,44,6,337,5,74,35,4,139.7753571,143.3064329,24987.63803
141,3,1970,55,751,111,9,1238,11,1287,313,47,1023,4,1118,229,36,769,1,908,146,25,482,0,708,74,16,118.348312,123.1340505,20856.41473
142,3,3725,23,143,28,1,3504,22,309,83,2,3091,11,251,63,2,2447,5,197,42,2,1620,3,162,27,0,117.1868572,117.1453505,16185.07841
143,3,4767,35,106,15,4,4487,23,334,55,28,4125,9,244,35,23,3533,3,167,24,15,2708,1,104,15,8,104.1959789,104.6384491,13438.60258
144,3,3646,11,671,48,0,2390,7,1749,229,1,2118,6,1378,172,0,1728,2,1033,106,0,1214,1,739,56,0,144.6727651,139.1561504,31432.51709
145,3,829,82,141,182,0,658,126,66,376,8,427,87,39,304,6,224,56,18,225,5,107,37,7,142,2,143.7709375,140.822852,31064.22617
146,3,3926,16,212,84,0,3414,31,294,492,7,3145,16,164,399,5,2709,7,83,313,3,2135,4,39,233,3,108.474592,110.3881258,18209.07371
147,3,2015,47,32,115,4,1916,56,17,213,11,1507,23,4,156,4,1016,5,1,96,1,584,3,0,42,1,127.9718555,127.6030057,18489.30123
148,3,2947,58,17,9,6,2850,105,40,18,24,2179,50,22,14,18,1403,17,16,12,13,774,7,6,9,8,141.3978389,147.7512584,23328.00221
149,3,545,135,167,166,2,324,43,9,621,18,253,19,4,453,8,172,9,1,274,3,111,4,1,133,0,322.6566594,307.7500211,141797.3174
150,3,417,17,14,35,0,386,24,8,63,2,254,10,3,42,2,164,2,1,27,2,109,1,0,17,2,196.1275527,196.8613322,61440.27621
151,3,2446,68,102,96,1,2265,49,170,221,8,1807,16,105,128,6,1201,6,60,64,3,557,1,30,27,1,101.7675178,101.674003,11698.6642
152,3,763,25,35,178,0,708,24,24,244,1,504,13,13,200,1,336,8,2,138,1,181,6,1,93,1,122.0123409,124.4384069,18587.39604
153,3,3662,135,273,288,6,2886,28,614,785,51,2478,7,453,489,24,1850,1,314,276,10,1141,0,202,154,2,102.4130601,104.1286837,12366.18645
154,3,11942,4,64,12,0,11308,0,323,350,41,10628,0,187,266,25,9509,0,92,171,18,7789,0,46,103,6,99.8677965,103.0289111,13573.06835
155,3,4708,26,28,18,0,4633,36,53,54,4,4047,21,37,38,0,3078,7,24,26,0,1896,6,15,16,0,116.6300465,116.8364693,15121.76713
156,3,254,82,72,178,2,207,70,39,268,4,96,25,22,208,3,38,12,14,141,1,18,2,12,75,1,132.2921441,130.1952566,22567.49366
157,3,2247,21,13,18,5,2214,18,2,58,12,1825,5,1,37,9,1285,3,1,22,7,748,1,1,13,6,160.5272721,167.0293385,30742.11346
158,3,2713,42,21,22,1,2644,66,15,65,9,2023,38,6,48,5,1374,12,4,32,1,828,6,0,20,1,158.6554908,155.2293655,29129.55039
159,3,2743,23,35,48,0,2683,14,30,118,4,2293,6,15,81,2,1779,2,6,49,0,1224,2,1,26,0,125.1486261,128.8404141,18085.95487
160,3,1719,131,3,11,11,1569,238,0,25,43,1230,150,0,16,35,895,75,0,11,27,583,33,0,9,21,171.9903984,169.7877295,43107.93563
